agent_1,configuration_trials,games,mean_score,draw_rate,mean_moves
Agente con rollouts aleatorios,1,100,0.2,0.02,20.39
Agente con rollouts aleatorios,5,100,0.12,0.0,16.46
Agente con rollouts aleatorios,10,100,0.23,0.01,16.51
Agente con rollouts aleatorios,25,100,0.1,0.0,18.95
Agente con rollouts aleatorios,50,100,0.19,0.01,22.83
Agente con rollouts aleatorios,100,100,0.04,0.04,26.64
Agente con rollouts heuristicos,1,10,0.2,0.2,37.1
Agente con rollouts heuristicos,5,10,0.6,0.4,35.0
Agente con rollouts heuristicos,10,10,0.0,0.2,34.6
Agente con rollouts heuristicos,25,10,-0.5,0.3,35.7
Agente con rollouts heuristicos,50,10,0.3,0.3,35.9
