focal_agent,opponent,focal_color,trials,games,wins,draws,losses,win_rate,draw_rate,loss_rate,mean_score,mean_moves,mean_decision_time,mean_game_time
Agente con rollouts aleatorios,Agente con rollouts aleatorios,first,1.0,100,59,2,39,0.59,0.02,0.39,0.2,20.39,0.045988863472758046,0.9367686939987471
Agente con rollouts aleatorios,Agente con rollouts aleatorios,first,5.0,100,56,0,44,0.56,0.0,0.44,0.12,16.46,0.043020934231008015,0.7346498829984921
Agente con rollouts aleatorios,Agente con rollouts aleatorios,first,10.0,100,61,1,38,0.61,0.01,0.38,0.23,16.51,0.12699095253532908,2.0706596789989273
Agente con rollouts aleatorios,Agente con rollouts aleatorios,first,25.0,100,55,0,45,0.55,0.0,0.45,0.1,18.95,0.32759783123618647,6.030170910000161
Agente con rollouts aleatorios,Agente con rollouts aleatorios,first,50.0,100,59,1,40,0.59,0.01,0.4,0.19,22.83,0.22935135751384744,5.15115624899976
Agente con rollouts aleatorios,Agente con rollouts aleatorios,first,100.0,100,50,4,46,0.5,0.04,0.46,0.04,26.64,0.45196505380345253,11.677723971998494
Agente con rollouts aleatorios,Agente con rollouts aleatorios,second,1.0,100,39,2,59,0.39,0.02,0.59,-0.2,20.39,0.04492701726583547,0.9367686939987471
Agente con rollouts aleatorios,Agente con rollouts aleatorios,second,5.0,100,44,0,56,0.44,0.0,0.56,-0.12,16.46,0.04322173627816976,0.7346498829984921
Agente con rollouts aleatorios,Agente con rollouts aleatorios,second,10.0,100,38,1,61,0.38,0.01,0.61,-0.23,16.51,0.12408293142328204,2.0706596789989273
Agente con rollouts aleatorios,Agente con rollouts aleatorios,second,25.0,100,45,0,55,0.45,0.0,0.55,-0.1,18.95,0.3186470097305565,6.030170910000161
Agente con rollouts aleatorios,Agente con rollouts aleatorios,second,50.0,100,40,1,59,0.4,0.01,0.59,-0.19,22.83,0.2271611945832565,5.15115624899976
Agente con rollouts aleatorios,Agente con rollouts aleatorios,second,100.0,100,46,4,50,0.46,0.04,0.5,-0.04,26.64,0.4375747404485931,11.677723971998494
Agente con rollouts aleatorios,Agente con rollouts heuristicos,first,1.0,10,0,0,10,0.0,0.0,1.0,-1.0,14.0,0.005022658614342699,0.4789740999956848
Agente con rollouts aleatorios,Agente con rollouts heuristicos,first,5.0,10,0,0,10,0.0,0.0,1.0,-1.0,17.8,0.02217496261242467,2.526512779999757
Agente con rollouts aleatorios,Agente con rollouts heuristicos,first,10.0,10,1,1,8,0.1,0.1,0.8,-0.7,20.3,0.042723200548387505,5.42883879999863
Agente con rollouts aleatorios,Agente con rollouts heuristicos,first,25.0,10,2,0,8,0.2,0.0,0.8,-0.6,24.6,0.1062871331238621,14.069029339996632
Agente con rollouts aleatorios,Agente con rollouts heuristicos,first,50.0,10,0,0,10,0.0,0.0,1.0,-1.0,23.6,0.21056203347646907,26.409010329999727
Agente con rollouts aleatorios,Agente con rollouts heuristicos,second,1.0,10,0,0,10,0.0,0.0,1.0,-1.0,8.0,0.0041501716633016205,0.2283943300019018
Agente con rollouts aleatorios,Agente con rollouts heuristicos,second,5.0,10,0,0,10,0.0,0.0,1.0,-1.0,12.8,0.02283859088787692,1.8840204100037226
Agente con rollouts aleatorios,Agente con rollouts heuristicos,second,10.0,10,0,0,10,0.0,0.0,1.0,-1.0,14.2,0.04354852568684104,3.913201429997571
Agente con rollouts aleatorios,Agente con rollouts heuristicos,second,25.0,10,3,0,7,0.3,0.0,0.7,-0.4,25.7,0.10786003631964529,15.4258107200003
Agente con rollouts aleatorios,Agente con rollouts heuristicos,second,50.0,10,2,0,8,0.2,0.0,0.8,-0.6,26.0,0.20839434785614103,25.758192430000054
Agente con rollouts aleatorios,Random,first,1.0,100,79,1,20,0.79,0.01,0.2,0.59,20.53,0.032022835241192885,0.34885352599725594
Agente con rollouts aleatorios,Random,first,5.0,100,97,0,3,0.97,0.0,0.03,0.94,14.21,0.06334051589546508,0.4767775849974714
Agente con rollouts aleatorios,Random,first,10.0,100,96,0,4,0.96,0.0,0.04,0.92,12.78,0.05706729546555603,0.3982137859988143
Agente con rollouts aleatorios,Random,first,25.0,100,100,0,0,1.0,0.0,0.0,1.0,10.68,0.19972996330668358,1.1630911840009504
