experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,laura_simulations,mario_agent,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_000,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,0,2026,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.771624400047585,0.6471722733423424,9.707584100135136,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_000,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,0,2026,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.771624400047585,0.0041668200011675555,0.06250230001751333,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_001,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,1,2027,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.826734300004318,0.004003984996234067,0.08007969992468134,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_001,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,1,2027,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.826734300004318,0.537207445007516,10.744148900150321,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_002,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,2,2028,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.577133899962064,0.6342836999916471,9.514255499874707,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_002,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,2,2028,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.577133899962064,0.004093046672642231,0.061395700089633465,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_003,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,3,2029,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.552500499994494,0.003675110000767745,0.0735022000153549,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_003,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,3,2029,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.552500499994494,0.5238392700062832,10.476785400125664,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_004,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,4,2030,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.76614179997705,0.6468611466698349,9.702917200047523,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_004,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,4,2030,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.76614179997705,0.004116139987794061,0.06174209981691092,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_005,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,5,2031,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.693835999991279,0.0037284550053300336,0.07456910010660067,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_005,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,5,2031,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.693835999991279,0.5308518699952401,10.617037399904802,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_006,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,6,2032,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.56414129998302,0.6333876866730861,9.500815300096292,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_006,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,6,2032,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.56414129998302,0.004124593338929117,0.06186890008393675,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_007,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,7,2033,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.596727199968882,0.0037259999953676015,0.07451999990735203,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_007,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,7,2033,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.596727199968882,0.5259978099929867,10.519956199859735,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_008,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,8,2034,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.67032819997985,0.6403999999980442,9.605999999970663,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_008,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,8,2034,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.67032819997985,0.004184993344824761,0.06277490017237142,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_009,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,9,2035,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.606118600000627,0.003682434992515482,0.07364869985030964,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_009,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,9,2035,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.606118600000627,0.5265120650059544,10.530241300119087,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_010,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,10,2036,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.634969700011425,0.6380812066645982,9.571218099968974,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_010,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,10,2036,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.634969700011425,0.00415137333329767,0.06227059999946505,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_011,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,11,2037,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.723645999969449,0.0038513900071848184,0.07702780014369637,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_011,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,11,2037,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.723645999969449,0.5322144300036598,10.644288600073196,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_012,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,12,2038,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.557858899992425,0.6329184200071419,9.493776300107129,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_012,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,12,2038,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.557858899992425,0.004172913338212917,0.06259370007319376,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_013,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,13,2039,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.69896719994722,0.00389850000210572,0.0779700000421144,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_013,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,13,2039,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.69896719994722,0.5309359100006986,10.618718200013973,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_014,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,14,2040,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.763062999991234,0.6464621600074073,9.696932400111109,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_014,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,14,2040,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.763062999991234,0.004307440008657674,0.06461160012986511,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_015,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,15,2041,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.538243299990427,0.003818905004300177,0.07637810008600354,20
