experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_0,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,0,2026,agent_1,Agente con rollouts aleatorios,win,1,25,0.5003820999991149,0.0371862384580219
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_0,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,0,2026,agent_1,Agente con rollouts aleatorios,loss,-1,25,0.5003820999991149,0.0001211333340809
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_1,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,1,2027,agent_2,Random,loss,-1,18,0.239589300006628,0.0257284333347342
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_1,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,1,2027,agent_2,Random,win,1,18,0.239589300006628,8.181110994579892e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_2,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,2,2028,agent_1,Agente con rollouts aleatorios,win,1,25,0.3270568999869283,0.0241546461564632
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_2,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,2,2028,agent_1,Agente con rollouts aleatorios,loss,-1,25,0.3270568999869283,7.195000216597691e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_3,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,3,2029,agent_1,Agente con rollouts aleatorios,win,1,21,0.4505054999899585,0.0398307636311404
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_3,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,3,2029,agent_1,Agente con rollouts aleatorios,loss,-1,21,0.4505054999899585,0.0001000699936412
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_4,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,4,2030,agent_1,Agente con rollouts aleatorios,win,1,19,0.3307935000048019,0.0321430600015446
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_4,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,4,2030,agent_1,Agente con rollouts aleatorios,loss,-1,19,0.3307935000048019,0.0001060111066585
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_5,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,5,2031,agent_2,Random,loss,-1,20,0.2176151000021491,0.0209696900012204
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_5,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,5,2031,agent_2,Random,win,1,20,0.2176151000021491,6.733999762218446e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_6,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,6,2032,agent_1,Agente con rollouts aleatorios,win,1,15,0.2654030999983661,0.0322762624964525
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_6,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,6,2032,agent_1,Agente con rollouts aleatorios,loss,-1,15,0.2654030999983661,0.0001204142920739
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_7,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,7,2033,agent_1,Agente con rollouts aleatorios,win,1,37,0.529392900003586,0.0263068999997095
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_7,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,7,2033,agent_1,Agente con rollouts aleatorios,loss,-1,37,0.529392900003586,8.042221856562214e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_8,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,8,2034,agent_1,Agente con rollouts aleatorios,win,1,15,0.2281238999858033,0.0277562125011172
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_8,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,8,2034,agent_1,Agente con rollouts aleatorios,loss,-1,15,0.2281238999858033,6.785714400133916e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_9,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,9,2035,agent_1,Agente con rollouts aleatorios,win,1,11,0.160667000018293,0.0261526166577823
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_9,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,9,2035,agent_1,Agente con rollouts aleatorios,loss,-1,11,0.160667000018293,7.762000313960016e-05
