experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,s_trials,laura_simulations,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
S_vs_Laura_alternating_50,S_vs_Laura_game_000,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,0,2026,Agente con rollouts heuristicos,50,100,agent_2,Agente Laura MCTS,loss,-1,36,32.906047499971464,1.3070576611272473,23.527037900290452,18
S_vs_Laura_alternating_50,S_vs_Laura_game_000,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,0,2026,Agente con rollouts heuristicos,50,100,agent_2,Agente Laura MCTS,win,1,36,32.906047499971464,0.520928294446397,9.376709300035145,18
S_vs_Laura_alternating_50,S_vs_Laura_game_001,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,1,2027,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,26,30.798698000027798,0.5919129076915292,7.694867799989879,13
S_vs_Laura_alternating_50,S_vs_Laura_game_001,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,1,2027,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,26,30.798698000027798,1.7771073769231758,23.102395900001284,13
S_vs_Laura_alternating_50,S_vs_Laura_game_002,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,2,2028,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,7,10.78024789999472,2.1642632500006584,8.657053000002634,4
S_vs_Laura_alternating_50,S_vs_Laura_game_002,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,2,2028,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,7,10.78024789999472,0.7076577333306583,2.122973199991975,3
S_vs_Laura_alternating_50,S_vs_Laura_game_003,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,3,2029,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,34,38.64352059998782,0.5818915470633382,9.89215630007675,17
S_vs_Laura_alternating_50,S_vs_Laura_game_003,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,3,2029,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,34,38.64352059998782,1.691129141179023,28.74919540004339,17
S_vs_Laura_alternating_50,S_vs_Laura_game_004,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,4,2030,Agente con rollouts heuristicos,50,100,agent_2,Agente Laura MCTS,loss,-1,36,31.21268349996535,1.3209355166699324,23.776839300058782,18
S_vs_Laura_alternating_50,S_vs_Laura_game_004,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,4,2030,Agente con rollouts heuristicos,50,100,agent_2,Agente Laura MCTS,win,1,36,31.21268349996535,0.4129897722224187,7.4338159000035375,18
S_vs_Laura_alternating_50,S_vs_Laura_game_005,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,5,2031,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,24,31.7111361999996,0.6346386249982364,7.615663499978837,12
S_vs_Laura_alternating_50,S_vs_Laura_game_005,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,5,2031,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,24,31.7111361999996,2.007857741661913,24.094292899942957,12
S_vs_Laura_alternating_50,S_vs_Laura_game_006,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,6,2032,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,21,24.776492599979974,1.741965790903619,19.16162369993981,11
S_vs_Laura_alternating_50,S_vs_Laura_game_006,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,6,2032,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,21,24.776492599979974,0.5613989099860192,5.613989099860191,10
S_vs_Laura_alternating_50,S_vs_Laura_game_007,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,7,2033,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,24,31.681256100011524,0.6406333916578054,7.687600699893665,12
S_vs_Laura_alternating_50,S_vs_Laura_game_007,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,7,2033,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,24,31.681256100011524,1.999364483335133,23.992373800021596,12
S_vs_Laura_alternating_50,S_vs_Laura_game_008,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,8,2034,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,7,10.399759499996435,2.0830742249672767,8.332296899869107,4
S_vs_Laura_alternating_50,S_vs_Laura_game_008,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,8,2034,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,7,10.399759499996435,0.6890823333330142,2.0672469999990426,3
S_vs_Laura_alternating_50,S_vs_Laura_game_009,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,9,2035,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,24,31.968537500011735,0.6500890666696554,7.801068800035864,12
